sku,post_title,total_sales,average_rating,product_id,price,stock_quantity,stock_status,z_score,categorie
12203,Domaine Huet Vouvray Haut-Lieu Demi-Sec 2015,0.0,0.0,4254.0,26.9,0.0,outofstock,-0.20111584626769524,ordinaire
15292,Domaine Hauvette IGP Alpilles Jaspe 2017,1.0,0.0,4288.0,26.7,8.0,instock,-0.20830736820259615,ordinaire
15324,Planeta Sicilia Chardonnay 2017,6.0,0.0,6223.0,26.7,1.0,instock,-0.20830736820259615,ordinaire
13910,Gilbert Picq Chablis 1er Cru Vaucoupin 2016,5.0,0.0,5893.0,26.6,65.0,instock,-0.21190312917004653,ordinaire
15480,Marc Colin Et Fils Saint-Aubin Blanc Luce 2017,0.0,0.0,4215.0,26.5,0.0,outofstock,-0.21549889013749707,ordinaire
15475,Marc Colin Et Fils Chassagne-Montrachet Rouge Vieilles Vignes 2017,0.0,0.0,4600.0,26.5,0.0,outofstock,-0.21549889013749707,ordinaire
14680,Domaine Saint-Nicolas Fiefs Vendéens Blanc Le Haut des Clous 2017,6.0,0.0,4757.0,26.5,1.0,instock,-0.21549889013749707,ordinaire
15229,Château La Tour l'Aspic Pauillac 2014,0.0,0.0,4980.0,26.5,88.0,instock,-0.21549889013749707,ordinaire
15481,Marc Colin Et Fils Santenay Rouge 2017,0.0,0.0,5491.0,26.5,15.0,instock,-0.21549889013749707,ordinaire
7032,Planeta Sicilia Passito di Noto 2016,0.0,0.0,6222.0,26.4,10.0,instock,-0.21909465110494758,ordinaire
15452,Gilbert Picq Chablis Vosgros 1er Cru 2017,15.0,0.0,4611.0,26.2,27.0,instock,-0.2262861730398485,ordinaire
16540,Paul Ginglinger Riesling Grand Cru Pfersigberg 2018,2.0,0.0,4727.0,26.0,33.0,instock,-0.2334776949747494,ordinaire
15614,Antoine-Marie Arena Vin de France Bianco Gentile 2018,0.0,0.0,4909.0,25.9,27.0,instock,-0.23707345594219992,ordinaire
15612,Jean-Baptiste Arena Patrimonio Rouge Grotte Di Sole 2018,6.0,0.0,4912.0,25.9,10.0,instock,-0.23707345594219992,ordinaire
15613,Antoine-Marie Arena Patrimonio Hauts de Carco 2018,2.0,0.0,4914.0,25.9,6.0,instock,-0.23707345594219992,ordinaire
15615,Jean-Baptiste Arena Patrimonio Blanc Morta Maio,8.0,0.0,4915.0,25.9,14.0,instock,-0.23707345594219992,ordinaire
15341,Zind-Humbrecht Zind 2017,6.0,0.0,4138.0,25.7,0.0,outofstock,-0.24426497787710083,ordinaire
9937,Marcel Richaud Cairanne Rouge Les Estrambords 2011,4.0,0.0,4932.0,25.7,0.0,outofstock,-0.24426497787710083,ordinaire
15206,Thierry Germain Saumur Blanc L'Insolite 2018,5.0,0.0,4650.0,25.3,14.0,instock,-0.25864802174690266,ordinaire
16037,Saumaize-Michelin Pouilly-Fuissé Vignes Blanches 2018,0.0,0.0,4889.0,25.3,0.0,outofstock,-0.25864802174690266,ordinaire
16580,Domaine Giudicelli Patrimonio Blanc 2019,41.0,0.0,6206.0,25.2,120.0,instock,-0.26224378271435317,ordinaire
16077,Domaine Giudicelli Patrimonio Rouge 2016,37.0,0.0,6207.0,25.2,363.0,instock,-0.26224378271435317,ordinaire
bon-cadeau-25-euros,Bon cadeau de 25€,10.0,0.0,4954.0,25.0,0.0,instock,-0.2694353046492541,ordinaire
12366,Parés Baltà Penedès Hisenda Miret 2013,0.0,0.0,5628.0,25.0,20.0,instock,-0.2694353046492541,ordinaire
16121,Albert Mann Riesling Cuvée Albert 2017,5.0,0.0,5711.0,25.0,35.0,instock,-0.2694353046492541,ordinaire
14955,Château Le Puy Bordeaux Côtes-de-Francs Emilien 2016,1.0,0.0,5804.0,25.0,0.0,outofstock,-0.2694353046492541,ordinaire
14865,I Fabbri Chianti Classico Riserva 2015,3.0,0.0,4277.0,24.8,0.0,outofstock,-0.276626826584155,ordinaire
